"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Alex Young","Diamondbacks","3","3","4.64","6","22","0","51.0","53","27","8","45","19","1.40","7.88","3.31","4.75","0.2","0.4","600.8","18333"
"Sean Hjelle","Giants","2","2","4.57","5","5","0","28.0","30","14","3","20","10","1.44","6.66","3.30","4.59","0.2","0.3","999.0","sa3007989"
"Joe Smith","Astros","3","3","4.17","0","53","0","53.0","52","25","8","50","17","1.30","8.53","2.88","4.30","0.2","0.3","999.0","3281"
"Tanner Rainey","Nationals","3","3","4.12","0","63","9","63.0","51","29","9","81","38","1.41","11.57","5.45","4.36","0.2","0.5","446.4","17610"
"Scott Oberg","Rockies","2","3","4.59","0","48","3","48.0","49","24","7","44","19","1.42","8.17","3.59","4.56","0.2","0.4","565.3","13911"
"Gregory Soto","Tigers","3","3","4.37","0","63","12","63.0","59","31","8","66","32","1.45","9.37","4.64","4.52","0.2","0.4","511.6","19677"
"Brooks Raley","Astros","2","2","4.28","0","48","0","48.0","47","23","7","47","17","1.32","8.75","3.11","4.47","0.2","0.1","999.0","10061"
"Miguel Castro","Mets","3","3","3.96","0","60","0","60.0","52","26","7","66","29","1.36","9.91","4.38","4.19","0.2","0.3","999.0","15684"
"Matt Harvey","","3","6","5.58","13","13","0","69.0","77","43","15","51","26","1.49","6.65","3.38","5.74","0.2","0.2","999.0","11713"
"Luis Garcia","Astros","3","3","4.98","8","8","0","46.0","45","25","8","45","24","1.49","8.86","4.70","5.09","0.2","0.3","999.0","23735"
"Tyler Beede","Giants","2","3","4.90","8","8","0","45.0","45","25","7","42","21","1.46","8.43","4.20","4.91","0.2","0.3","599.1","16981"
"Sam Selman","Giants","2","2","3.94","0","50","0","50.0","43","22","6","58","24","1.34","10.39","4.33","4.17","0.2","0.3","999.0","13397"
"Lewis Thorpe","Twins","2","2","4.41","2","34","0","41.0","40","20","7","39","15","1.33","8.57","3.29","4.61","0.2","0.3","999.0","15906"
