"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Taylor Ward","LAA","36","137","121","30","6","0","4","17","14","14","36","2","0",".249",".334",".403",".737",".323","599.5","","6.00","0.68","1.52","17548"
"Ha-seong Kim","SDP","92","376","337","87","17","2","11","46","45","33","62","10","3",".260",".330",".417",".747",".323","260.2","","6.36","0.60","0.92","sa3011918"
"Jarred Kelenic","SEA","106","445","402","101","20","3","16","54","52","37","107","12","4",".250",".317",".435",".752",".323","197.3","","6.41","-0.13","0.77","sa3007741"
"Austin Nola","SDP","91","357","317","81","16","1","10","41","44","33","73","1","1",".255",".330",".412",".743",".323","182.6","","3.29","0.19","0.68","15941"
"Andrew Benintendi","KCR","136","573","494","125","27","4","14","68","60","64","130","12","5",".253",".343",".408",".751",".323","217.9","","4.62","-2.38","0.59","17901"
"Hunter Renfroe","BOS","115","446","401","91","20","1","25","57","64","37","125","4","1",".227",".296",".470",".766",".323","451.5","","2.51","0.67","0.76","15464"
"Mike Ford","NYY","34","131","116","27","5","0","6","16","18","13","25","0","0",".236",".319",".429",".748",".322","599.1","","4.99","1.87","1.38","15585"
"Cesar Hernandez","CLE","139","595","532","144","27","3","10","76","55","55","114","5","2",".271",".343",".390",".733",".322","400.7","","2.42","-0.20","0.80","10556"
"Daulton Varsho","ARI","87","333","298","73","15","3","11","46","37","29","73","9","3",".246",".321",".424",".745",".322","191.2","","6.35","-0.24","0.93","19918"
"Matt Carpenter","STL","89","359","303","68","16","1","12","47","42","48","96","2","1",".223",".338",".403",".741",".322","585.0","","4.13","-0.53","0.35","8090"
"Jonathan Schoop","DET","125","508","472","121","22","2","22","62","64","24","116","1","1",".257",".303",".453",".756",".322","382.9","","2.74","-0.90","0.41","11265"
"Paul DeJong","STL","145","610","540","132","28","1","23","78","78","53","152","4","2",".245",".319",".430",".749",".322","237.9","","4.25","-0.47","0.64","18015"
"Eduardo Escobar","ARI","142","604","550","141","27","6","22","73","79","43","116","3","1",".256",".312",".450",".762",".322","306.2","","2.19","-0.38","0.44","6153"
"Joshua Ockimey","BOS","12","46","39","8","2","0","2","5","5","6","15","0","0",".203",".314",".427",".741",".322","999.0","","4.62","1.87","1.76","sa829375"
"Asdrubal Cabrera","ARI","90","372","332","84","17","2","12","43","50","34","73","1","0",".252",".321",".428",".749",".322","536.0","","5.53","-0.12","0.55","4962"
"Willy Adames","TBR","133","537","482","121","24","2","18","64","59","48","159","5","3",".251",".322",".421",".743",".321","437.3","","1.87","-0.48","0.13","15986"
"Jurickson Profar","SDP","114","458","406","101","21","2","15","56","55","40","68","10","2",".248",".325",".416",".741",".321","301.4","","4.33","0.79","0.57","10815"
"Pavin Smith","ARI","52","212","186","49","9","2","5","25","24","21","32","2","1",".263",".334",".407",".741",".321","596.5","","5.27","0.81","1.32","19892"
"Dylan Moore","SEA","130","503","446","106","22","2","18","65","52","44","133","22","9",".237",".321",".417",".738",".321","126.4","","3.10","0.03","1.40","18042"
"Matt Joyce","PHI","34","124","106","25","5","0","4","15","13","16","30","0","0",".233",".338",".389",".727",".321","600.1","","4.15","2.11","1.47","3353"
"Zack Collins","CHW","74","275","231","49","10","1","10","31","34","41","89","1","0",".213",".335",".391",".725",".321","598.7","","3.56","0.65","0.71","19181"
"Kyle Seager","SEA","137","570","500","120","27","1","23","69","80","55","101","6","2",".240",".321",".435",".756",".321","295.3","","1.92","0.74","0.67","9785"
"Tyler Stephenson","CIN","65","239","212","53","11","1","7","26","27","22","60","0","0",".250",".331",".401",".732",".320","495.0","","2.75","-0.54","1.11","17988"
"Adam Duvall","MIA","118","464","419","95","19","2","26","57","66","35","124","1","1",".227",".295",".464",".759",".320","368.9","","4.59","-0.43","0.83","10950"
"Luis Campusano","SDP","22","86","78","20","4","0","2","10","10","6","18","0","0",".259",".329",".407",".735",".320","999.0","","4.12","2.42","1.70","22217"
"Wander Franco","TBR","74","313","284","77","14","2","8","38","35","24","37","7","3",".270",".328",".416",".744",".320","999.0","","8.18","0.05","1.18","sa3007033"
"Kyle Lewis","SEA","144","610","538","130","23","1","23","76","73","64","184","8","2",".242",".323",".416",".739",".320","145.9","","4.56","1.49","0.60","19508"
"Edwin Rios","LAD","68","233","213","50","11","1","12","30","36","16","74","0","0",".235",".296",".458",".754",".320","482.8","","6.05","0.22","0.85","18316"
"Jay Bruce","NYY","34","135","123","28","6","1","8","16","20","11","32","1","0",".227",".292",".465",".757",".320","596.2","","4.38","1.17","1.33","9892"
"Corey Dickerson","MIA","131","540","501","135","27","4","18","63","62","33","96","3","2",".269",".316",".444",".759",".320","425.9","","2.58","-0.14","0.47","10762"
"Justin Upton","LAA","123","512","449","103","18","1","24","65","72","50","146","3","2",".229",".314",".435",".749",".319","384.6","","3.39","-0.17","0.79","5222"
"Brett Gardner","NYY","78","306","266","63","12","2","10","41","33","35","64","5","2",".236",".329",".406",".735",".319","570.4","","3.96","0.31","0.82","9927"
"Mitch Moreland","OAK","101","397","353","83","17","1","18","49","58","39","89","1","0",".236",".314",".445",".759",".319","534.3","","4.84","0.32","0.44","3086"
"Eric Hosmer","SDP","143","614","560","147","25","1","22","75","88","45","131","7","2",".262",".318",".431",".749",".319","157.8","","2.42","0.23","0.44","3516"
"Raimel Tapia","COL","137","545","505","143","28","6","8","69","52","32","111","18","5",".283",".329",".411",".740",".319","234.3","","1.90","-0.09","1.44","14350"
"Yonathan Daza","COL","43","174","163","47","9","1","3","19","17","9","28","3","2",".288",".325",".415",".740",".319","999.0","","4.43","1.92","1.71","15794"
"Brent Rooker","MIN","31","123","110","26","5","0","5","16","16","11","41","1","0",".232",".311",".427",".738",".319","592.5","","4.61","1.21","1.43","19627"
"Carson Kelly","ARI","109","408","358","86","17","0","16","42","50","38","84","0","0",".240",".318",".420",".738",".319","263.9","","2.28","0.87","0.48","13620"
"Wilson Ramos","DET","89","331","303","82","13","0","10","32","41","24","56","0","0",".269",".324",".416",".740",".318","260.7","","5.22","0.76","1.08","1433"
"Miguel Cabrera","DET","119","495","441","114","18","1","16","52","62","47","103","1","0",".260",".332",".409",".741",".318","542.3","","4.68","-0.52","0.49","1744"
"Avisail Garcia","MIL","107","449","407","105","19","1","15","51","53","32","108","5","3",".258",".322",".422",".744",".318","366.5","","3.81","0.62","0.49","5760"
"Christian Vazquez","BOS","118","461","423","110","21","1","15","54","54","32","94","6","3",".261",".316",".422",".738",".318","152.4","","3.91","0.48","0.50","9774"
"Dylan Carlson","STL","143","582","522","129","28","5","18","72","69","49","140","10","5",".246",".316",".423",".739",".318","999.0","","2.88","1.44","0.49","20126"
"Ian Desmond","COL","55","206","187","45","10","2","8","28","26","16","50","4","2",".241",".304",".441",".745",".318","599.7","","1.07","0.29","1.15","6885"
"Ryan McBroom","KCR","27","97","88","22","4","0","4","11","11","7","28","0","0",".250",".313",".425",".737",".318","599.7","","5.79","0.74","1.62","16524"
"Nick Senzel","CIN","131","535","484","121","30","3","17","72","59","43","124","15","5",".249",".313",".426",".739",".318","233.7","","4.47","0.07","0.77","19293"
"Nick Madrigal","CHW","127","515","477","141","24","2","4","59","48","29","33","16","7",".296",".343",".381",".724",".318","191.9","","5.29","0.18","1.73","20521"
"Tomas Telis","MIN","18","68","63","17","3","0","2","7","8","4","12","0","0",".275",".326",".401",".728",".318","999.0","","6.95","0.62","1.82","10067"
"Khris Davis","TEX","85","339","300","68","11","0","17","41","48","31","94","0","0",".228",".308",".435",".743",".317","552.5","","4.08","0.62","0.53","9112"
"Logan Morrison","","27","101","89","20","4","0","5","12","14","10","25","0","0",".227",".311",".443",".754",".317","999.0","","2.80","2.12","1.51","9205"
"Patrick Kivlehan","SDP","5","21","19","5","1","0","1","3","2","2","6","0","0",".250",".320",".428",".748",".317","999.0","","0.00","0.00","1.92","13910"
"Javier Baez","CHC","150","628","589","153","31","4","27","82","87","29","180","11","5",".259",".298",".464",".762",".317","72.6","","2.91","-1.01","0.42","12979"
"John Nogowski","STL","6","25","22","5","1","0","1","3","3","3","4","0","0",".252",".338",".379",".717",".317","999.0","","3.01","3.47","1.92","16852"
"Starlin Castro","WSN","122","516","481","131","23","2","17","60","63","28","94","2","1",".272",".312",".433",".745",".317","428.5","","3.29","0.51","0.60","4579"
"Tim Locastro","ARI","85","292","260","67","14","2","5","42","26","20","55","15","2",".258",".332",".386",".718",".317","542.4","","5.05","-0.11","1.58","15124"
"Harrison Bader","STL","139","495","430","99","19","3","17","68","51","49","148","14","4",".230",".323",".405",".728",".316","522.2","","5.20","-0.68","0.97","18030"
"Ryan O'Hearn","KCR","53","196","172","39","9","0","8","20","25","21","54","0","0",".226",".314",".416",".731",".316","600.8","","2.81","3.28","1.12","16442"
"Jon Berti","MIA","105","425","369","92","16","2","8","55","37","45","101","24","5",".250",".341",".368",".709",".316","297.0","","6.25","-0.44","1.84","12037"
"Maikel Franco","BAL","102","414","378","96","18","1","16","44","57","30","63","1","0",".255",".309",".436",".745",".316","479.8","","4.33","0.45","0.59","12179"
"Jackie Bradley Jr.","MIL","129","525","461","109","22","2","18","65","58","51","135","10","4",".235",".322",".409",".732",".316","404.3","","4.37","-0.20","0.65","12984"
"Omar Narvaez","MIL","93","343","300","73","11","0","10","35","36","37","80","0","0",".243",".333",".386",".719",".316","355.2","","2.48","-0.29","0.74","13338"
"David Fletcher","LAA","138","604","550","155","30","3","6","77","51","45","65","8","3",".283",".338",".380",".718",".316","236.6","","3.08","-0.55","1.27","17992"
"Lorenzo Cain","MIL","119","513","459","124","22","2","10","65","43","47","85","11","5",".269",".343",".388",".731",".315","284.3","","2.91","-1.08","1.03","9077"
"Franchy Cordero","BOS","105","389","349","84","19","3","15","51","49","32","103","8","3",".240",".303",".437",".741",".315","468.2","","3.18","-0.14","0.61","14567"
"Andy Young","ARI","26","96","86","20","4","1","3","11","11","7","26","1","0",".233",".311",".414",".725",".315","999.0","","3.58","2.39","1.59","19521"
"Jonathan India","CIN","27","112","98","24","5","0","3","14","12","11","28","2","0",".241",".330",".383",".713",".314","576.3","","6.50","0.39","1.59","sa3008178"
"Willi Castro","DET","127","523","478","128","22","5","13","63","59","30","125","6","3",".267",".316",".415",".730",".314","244.4","","4.16","1.75","0.54","17338"
"Tommy Edman","STL","133","564","517","137","25","5","12","74","57","36","106","12","5",".265",".320",".405",".725",".314","131.8","","2.70","-0.16","0.76","19470"
"Chance Sisco","BAL","72","260","225","49","10","0","9","29","27","27","82","0","0",".220",".324",".386",".711",".314","556.3","","2.84","0.33","0.84","15694"
"Adam Frazier","PIT","128","521","472","123","26","3","11","62","49","39","75","4","3",".262",".325",".398",".724",".314","531.4","","2.73","-0.24","0.55","15223"
"Yuli Gurriel","HOU","134","564","520","138","30","2","16","67","72","30","67","2","2",".266",".309",".425",".734",".314","338.1","","3.84","0.02","0.47","19198"
"David Bote","CHC","91","334","292","68","13","1","11","39","45","35","90","4","1",".232",".321",".400",".721",".314","557.4","","2.42","0.71","0.62","14593"
"Kolten Wong","MIL","139","564","492","129","23","4","10","67","53","49","87","15","5",".262",".342",".384",".726",".314","250.7","","2.00","-0.14","1.00","12532"
"Enrique Hernandez","BOS","118","436","393","95","21","2","16","55","55","34","89","3","1",".242",".307",".430",".738",".314","436.3","","2.68","1.32","0.19","10472"
"Matt Beaty","LAD","40","150","138","35","8","0","4","18","19","9","27","1","1",".254",".312",".413",".726",".314","601.0","","2.47","1.58","1.43","17710"
"Kurt Suzuki","LAA","68","263","235","60","12","0","8","29","36","18","37","1","0",".254",".319",".413",".732",".314","484.3","","1.95","-0.38","1.00","8259"
"Christian Arroyo","BOS","46","181","166","42","9","1","6","21","22","12","40","1","0",".254",".313",".422",".735",".314","600.9","","5.29","-0.05","1.34","16434"
"Miguel Andujar","NYY","50","193","180","47","11","1","6","23","25","10","32","1","0",".262",".302",".433",".736",".314","568.0","","7.59","0.33","1.31","15878"
"Austin Listi","PHI","8","30","27","6","1","0","1","4","4","3","8","0","0",".238",".315",".402",".717",".313","999.0","","6.43","1.32","1.87","sa3004170"
"Darick Hall","PHI","7","28","25","6","1","0","1","4","4","3","8","0","0",".226",".317",".399",".716",".313","999.0","","8.33","1.49","1.85","sa918293"
"Austin Hays","BAL","118","487","451","116","20","2","18","63","53","27","102","8","4",".257",".304",".426",".730",".313","254.2","","3.66","1.83","0.40","19363"
"Carter Kieboom","WSN","120","493","429","104","19","1","10","58","52","54","123","2","2",".244",".337",".368",".705",".313","481.8","","3.58","-1.06","0.22","19958"
"Travis Shaw","MIL","75","288","251","57","11","0","12","31","35","33","77","1","1",".227",".320",".411",".732",".313","562.0","","4.40","0.27","0.77","11982"
"Bobby Bradley","CLE","54","220","198","44","9","0","11","25","30","19","75","0","0",".222",".297",".436",".733",".313","592.2","","6.46","0.54","0.95","17278"
"Willie Calhoun","TEX","120","490","446","110","21","2","19","53","62","34","78","1","1",".248",".304",".428",".732",".313","441.6","","5.91","0.04","0.38","17838"
"Donovan Solano","SFG","128","512","478","135","27","2","8","54","56","25","95","1","1",".283",".323",".397",".720",".313","548.8","","3.22","-1.77","1.12","8623"
"Max Moroff","STL","7","27","23","5","1","0","1","3","2","3","8","0","0",".215",".321",".390",".712",".313","999.0","","1.94","2.48","1.88","14556"
"Harold Ramirez","CLE","22","88","82","22","4","0","2","10","10","4","17","1","0",".267",".313",".410",".724",".313","999.0","","5.10","1.87","1.73","14387"
"Josh VanMeter","ARI","35","133","119","28","7","1","4","16","14","12","31","3","1",".239",".315",".405",".720",".313","600.4","","4.36","1.36","1.53","15170"
"Mauricio Dubon","SFG","122","477","440","117","21","2","13","54","49","29","88","10","4",".265",".314",".411",".724",".312","290.0","","2.63","0.74","0.81","16530"
"Mike Tauchman","NYY","45","154","135","32","7","1","4","21","17","16","32","5","1",".240",".326",".388",".713",".312","580.5","","4.14","2.55","1.46","15274"
"Ben Gamel","CLE","44","158","140","35","8","1","3","20","15","15","42","1","1",".249",".327",".388",".715",".312","999.0","","3.77","1.73","1.44","12160"
"Aledmys Diaz","HOU","86","321","294","75","16","1","11","40","41","20","51","1","1",".254",".306",".428",".734",".312","597.6","","4.87","0.67","0.73","15937"
"Amed Rosario","CLE","114","449","423","116","21","4","10","55","48","20","89","9","5",".274",".310",".417",".726",".312","397.7","","2.96","0.76","0.96","15518"
"Nick Markakis","","81","327","294","78","19","1","6","35","38","28","50","0","1",".265",".331",".400",".731",".312","600.8","","2.43","-0.39","1.01","5930"
"Robel Garcia","HOU","6","24","21","5","1","0","1","3","3","2","8","0","0",".225",".292",".440",".733",".312","999.0","","4.83","3.53","1.88","13167"
"Sam Hilliard","COL","107","420","384","89","16","4","18","51","47","33","140","11","3",".231",".296",".432",".728",".312","335.5","","4.53","0.25","0.81","17954"
"Edwin Encarnacion","","87","372","325","69","12","0","19","48","53","39","96","0","0",".213",".306",".425",".730",".311","592.5","","5.74","-0.04","0.58","2151"
"Isaac Paredes","DET","59","228","206","52","11","0","5","24","23","19","38","1","0",".255",".325",".384",".709",".311","585.0","","5.84","0.68","1.27","20036"
"Jake Cave","MIN","76","281","255","62","12","2","9","35","33","19","89","1","1",".242",".305",".416",".721",".311","599.6","","4.13","1.04","0.80","14477"
"Luis Urias","MIL","118","458","405","101","20","3","9","50","45","42","105","5","2",".249",".330",".373",".703",".310","492.5","","4.12","-1.51","0.57","16622"
"Rafael Ortega","CHC","18","71","64","16","3","1","2","9","9","6","15","2","0",".244",".313",".397",".711",".310","999.0","","7.94","0.62","1.73","10323"
"Victor Robles","WSN","146","590","527","131","26","4","15","75","59","36","144","21","7",".248",".315",".398",".713",".310","136.5","","5.08","-0.48","1.19","18363"
"Yoenis Cespedes","","31","129","117","27","5","0","6","16","18","9","40","1","0",".231",".296",".448",".743",".310","595.2","","2.59","-0.05","1.38","13110"
"Buster Posey","SFG","105","429","385","101","19","1","7","45","43","37","63","1","1",".263",".333",".374",".707",".310","240.7","","1.86","-1.35","0.80","9166"
"Michael Chavis","BOS","68","272","248","58","11","1","11","32","35","19","84","3","1",".235",".297",".425",".722",".309","525.6","","5.19","0.78","0.88","17321"
"Andrew Vaughn","CHW","103","439","388","93","18","1","12","50","53","42","88","1","1",".240",".322",".384",".706",".309","229.8","","3.71","1.67","0.22","sa3011226"
"Adam Haseley","PHI","80","292","261","68","13","1","6","32","32","21","60","2","1",".260",".324",".384",".708",".309","596.5","","3.63","1.13","1.09","19878"
"Yusniel Diaz","BAL","70","291","261","64","12","2","8","33","32","26","66","3","2",".244",".315",".398",".713",".309","999.0","","4.37","-0.46","0.94","sa912848"
"J.P. Crawford","SEA","139","590","516","127","24","4","10","73","56","60","118","14","4",".246",".330",".368",".699",".309","507.2","","2.40","0.83","0.93","15491"
"Willians Astudillo","MIN","31","109","103","28","5","0","3","13","14","3","7","0","0",".275",".302",".421",".724",".309","592.5","","6.88","0.35","1.67","15608"
"Ronald Guzman","TEX","69","256","228","53","11","1","9","29","29","23","72","2","1",".234",".310",".402",".712",".309","583.5","","4.32","0.52","0.93","14388"
"Chad Pinder","OAK","96","337","306","74","15","1","12","40","40","24","81","1","1",".242",".304",".411",".716",".309","572.7","","2.56","-0.33","0.59","15191"
"Victor Caratini","SDP","84","290","257","63","13","1","7","29","33","26","64","0","0",".246",".324",".383",".707",".309","527.9","","2.56","-0.37","0.94","14968"
"Matt Adams","","20","74","68","15","3","0","4","9","11","5","23","0","0",".222",".284",".442",".726",".309","999.0","","3.30","2.02","1.61","9393"
"Leody Taveras","TEX","125","531","478","119","22","5","13","68","46","46","135","23","6",".249",".316",".392",".709",".309","199.5","","5.38","0.62","1.53","18900"
"Jake Bauers","CLE","70","275","239","55","13","1","8","32","30","30","71","4","2",".229",".318",".388",".706",".308","590.3","","3.75","1.12","0.93","15194"
"Wyatt Mathisen","ARI","13","51","45","10","2","0","2","6","6","5","15","0","0",".221",".312",".390",".703",".308","999.0","","3.17","3.20","1.75","14555"
"Josh Reddick","","102","407","368","94","17","2","10","45","44","34","67","3","1",".255",".317",".394",".711",".308","598.8","","4.25","0.35","0.65","3892"
"Evan Longoria","SFG","111","460","421","105","21","2","16","52","59","29","94","1","1",".250",".303",".421",".724",".308","528.0","","4.22","-1.33","0.31","9368"
"Daniel Johnson Jr.","CLE","63","249","229","56","12","2","8","29","27","17","66","4","2",".244",".303",".412",".715",".308","598.7","","4.81","0.07","1.12","19643"
"Andrelton Simmons","MIN","128","534","495","136","26","2","8","65","54","32","55","9","3",".274",".322",".383",".706",".308","497.5","","2.44","-0.01","0.95","10847"
"Yan Gomes","WSN","96","379","343","84","16","1","13","41","45","27","87","2","1",".244",".306",".409",".716",".308","307.6","","2.99","0.21","0.56","9627"
"Yadiel Hernandez","WSN","13","47","42","10","2","0","2","5","5","4","13","0","0",".239",".305",".416",".721",".308","999.0","","6.09","1.88","1.81","19334"
"Travis Blankenhorn","MIN","12","47","44","10","2","0","2","5","5","3","11","1","0",".237",".292",".427",".719",".308","598.5","","3.45","2.97","1.82","18395"
"Garrett Hampson","COL","107","420","381","96","16","4","10","51","36","31","112","17","4",".253",".311",".399",".711",".308","255.9","","4.04","0.08","1.36","19262"
"Brendan Rodgers","COL","101","400","371","95","21","2","11","45","46","22","94","4","1",".255",".305",".408",".713",".308","424.0","","6.79","-0.15","0.63","17907"
"Marwin Gonzalez","BOS","96","387","348","86","18","1","12","42","45","31","82","1","1",".248",".314",".403",".717",".308","509.5","","2.75","-0.70","0.56","5497"
"Zach Green","MIL","10","38","34","7","2","0","2","4","5","3","13","0","0",".216",".295",".416",".711",".307","999.0","","6.25","1.38","1.81","14973"
"Nicky Delmonico","CIN","7","26","23","5","1","0","1","3","3","3","5","0","0",".227",".314",".386",".700",".307","999.0","","2.06","2.07","1.88","13157"
"Jose Martinez","NYM","12","47","42","11","2","0","1","5","5","4","11","0","0",".252",".320",".390",".710",".307","600.5","","4.22","1.99","1.83","7996"
"Brandon Marsh","LAA","21","90","81","20","4","1","2","11","9","9","24","3","1",".244",".325",".368",".693",".307","586.0","","2.74","0.85","1.72","sa917944"
"Matt Davidson","LAD","15","49","44","10","2","0","2","6","7","4","14","0","0",".218",".286",".432",".718",".307","999.0","","9.55","1.39","1.73","7226"
"James McCann","NYM","116","456","415","100","17","1","17","53","54","30","128","3","1",".242",".302",".408",".710",".307","180.5","","5.47","0.74","0.27","12859"
"Stephen Piscotty","OAK","128","520","471","114","24","1","18","58","65","38","127","6","1",".242",".305",".409",".714",".307","537.4","","2.44","-0.52","0.36","13367"
"Ramon Urias","BAL","19","71","63","16","3","0","2","8","7","6","16","0","0",".246",".319",".378",".697",".307","599.5","","3.49","3.78","1.75","18795"
"Luis Guillorme","NYM","55","184","161","41","8","0","2","19","18","20","36","3","1",".253",".337",".348",".685",".306","599.9","","3.71","0.75","1.48","16451"
"Miguel Rojas","MIA","140","550","500","135","26","2","9","58","55","39","71","12","4",".270",".330",".381",".711",".306","509.8","","2.90","0.45","0.97","7802"
"Derek Fisher","MIL","33","117","101","22","4","0","5","14","14","14","38","2","1",".219",".312",".404",".716",".306","600.7","","7.31","1.00","1.50","16192"
"Jaylin Davis","SFG","10","41","37","9","2","0","1","5","5","3","13","0","0",".237",".307",".398",".705",".306","999.0","","4.47","1.91","1.83","19552"
"Jose Iglesias","LAA","128","511","481","133","28","2","8","56","57","19","63","4","3",".278",".312",".394",".707",".306","524.4","","4.01","-0.36","0.95","10231"
"Curt Casali","SFG","53","180","159","37","6","0","6","18","20","18","47","1","1",".231",".316",".382",".697",".306","596.0","","2.34","0.40","1.28","12510"
"Nick Ahmed","ARI","148","596","541","135","28","4","16","69","70","46","119","8","3",".249",".310",".403",".713",".306","489.6","","1.81","-1.15","0.36","12147"
"Andres Gimenez","CLE","135","502","459","118","23","5","10","64","49","27","106","25","8",".256",".312",".392",".704",".306","158.1","","5.70","-0.49","1.61","19950"
"Billy McKinney","MIL","18","69","62","14","3","0","3","8","8","6","15","0","0",".225",".296",".415",".711",".306","999.0","","4.53","2.13","1.68","15654"
"Jeter Downs","BOS","16","64","58","14","4","0","2","8","7","5","14","2","0",".239",".305",".404",".709",".305","569.8","","6.49","3.65","1.78","sa3004615"
"Mark Payton","CIN","14","53","48","11","3","0","1","7","6","4","12","1","0",".240",".306",".398",".704",".305","999.0","","3.51","2.08","1.79","16042"
"Matt Duffy","CHC","18","76","67","17","3","0","1","8","7","6","13","1","0",".259",".334",".351",".685",".305","999.0","","3.47","3.06","1.79","13836"
"Josh Rojas","ARI","55","233","207","51","11","2","5","29","23","22","48","7","3",".245",".318",".380",".698",".305","534.5","","5.98","0.35","1.32","19734"
"Pedro Severino","BAL","94","351","316","76","12","1","11","36","40","29","76","2","1",".240",".309",".394",".703",".305","370.1","","3.17","0.03","0.69","14523"
"Travis Demeritte","ATL","15","45","40","9","2","0","1","6","5","5","16","0","0",".221",".312",".382",".694",".305","999.0","","5.92","1.90","1.78","15958"
"Manuel Margot","TBR","116","442","401","101","21","3","9","54","43","34","81","22","7",".252",".313",".388",".702",".305","258.7","","1.98","0.15","1.59","14712"
"Brian O'Grady","SDP","11","38","35","7","2","0","2","4","5","3","12","2","0",".216",".290",".422",".712",".305","999.0","","5.36","2.23","1.88","16729"
"Andrew Stevenson","WSN","70","253","229","59","11","2","4","31","26","18","67","7","2",".257",".317",".382",".699",".305","574.0","","4.24","0.55","1.31","17932"
"Kevin Plawecki","BOS","54","200","180","45","10","1","4","21","24","15","37","1","1",".251",".320",".384",".704",".305","593.7","","2.11","0.55","1.29","13807"
"Phillip Evans","PIT","61","245","221","54","11","1","6","26","25","20","45","1","1",".244",".315",".379",".694",".305","600.7","","3.25","0.24","1.11","12950"
"Alex Avila","WSN","63","216","180","37","7","0","7","22","22","32","76","0","0",".205",".332",".360",".693",".305","598.0","","2.72","-0.06","1.01","7476"
"Rob Refsnyder","MIN","11","32","28","7","1","0","1","3","4","3","10","0","0",".247",".319",".400",".718",".305","999.0","","1.50","0.70","1.88","13770"
"JaCoby Jones","DET","126","494","447","104","24","3","16","61","50","34","148","9","4",".232",".299",".408",".706",".305","517.7","","3.55","-1.95","0.62","14818"
"Johan Camargo","ATL","67","246","226","56","12","1","7","29","29","17","55","1","0",".248",".304",".407",".711",".305","597.8","","3.16","1.17","1.01","14950"
"Christin Stewart","DET","24","95","84","20","4","0","3","10","11","9","25","0","0",".233",".308",".393",".702",".305","600.9","","4.01","2.33","1.60","17714"
"Stuart Fairchild","ARI","11","45","40","10","2","0","1","5","5","4","10","1","0",".237",".315",".379",".695",".305","999.0","","2.70","2.06","1.85","sa829822"
"David Dahl","TEX","102","421","386","94","19","4","13","50","49","27","117","5","3",".243",".297",".414",".711",".305","358.8","","3.76","1.22","0.42","13744"
"Brian Goodwin","PIT","62","239","213","49","12","1","8","27","27","21","70","5","1",".231",".305",".405",".710",".305","599.0","","3.57","0.54","1.13","12858"
"Manny Pina","MIL","53","184","166","40","8","1","6","18","21","13","43","0","0",".239",".306",".395",".701",".304","599.4","","2.37","-2.12","1.29","2829"
"Jason Kipnis","ATL","23","89","79","19","4","0","3","10","10","8","20","1","0",".234",".309",".392",".701",".304","600.8","","5.04","1.87","1.64","9776"
"Todd Frazier","PIT","73","280","250","57","11","1","9","31","32","24","63","2","1",".229",".307",".395",".702",".304","596.4","","2.48","-0.85","0.81","785"
"Joey Wendle","TBR","112","445","406","106","22","3","7","52","43","26","84","15","4",".262",".316",".386",".702",".304","371.9","","4.47","0.29","1.23","13853"
"Danny Santana","BOS","26","108","99","23","6","1","4","15","13","7","33","4","1",".237",".292",".426",".719",".304","592.3","","8.74","1.77","1.59","10322"
"Evan White","SEA","136","554","502","116","21","2","22","63","69","44","178","3","2",".231",".296",".409",".705",".304","497.3","","4.94","-0.54","0.72","20078"
"Adley Rutschman","BAL","33","130","116","28","6","0","4","15","17","12","29","1","0",".238",".312",".386",".698",".304","512.0","","5.90","1.14","1.43","sa3011643"
"Andrew Knizner","STL","58","208","188","49","9","0","5","22","24","13","41","1","1",".259",".311",".391",".702",".304","570.1","","3.31","-0.03","1.33","19514"
"Tyler O'Neill","STL","119","441","399","89","17","1","19","56","57","35","135","6","2",".222",".291",".417",".707",".303","448.2","","7.30","-0.95","0.65","15711"
"Josh Fuentes","COL","93","369","347","91","20","3","9","42","46","15","98","2","1",".262",".296",".413",".709",".303","556.5","","7.05","-0.85","0.78","16885"
"Jake Fraley","SEA","47","192","175","42","10","2","5","22","22","13","53","7","2",".238",".301",".400",".701",".303","600.4","","5.15","1.27","1.41","19260"
"Steven Souza Jr.","TEX","28","109","96","21","4","0","4","13","13","12","36","2","0",".219",".311",".397",".709",".303","600.5","","5.83","2.28","1.53","5667"
"Abraham Toro","HOU","45","169","151","36","8","1","4","21","20","13","37","2","0",".237",".311",".382",".693",".303","599.2","","5.45","1.10","1.27","19844"
"Victor Reyes","DET","117","464","436","119","20","5","8","58","40","22","95","16","5",".272",".310",".391",".700",".303","283.2","","5.19","0.05","1.39","15487"
"Zach McKinstry","LAD","23","80","73","18","4","1","2","10","9","6","20","1","0",".241",".304",".395",".699",".303","600.1","","2.16","2.44","1.69","19392"
"Nomar Mazara","DET","104","418","381","94","18","1","14","48","51","29","101","1","1",".248",".308",".408",".716",".303","539.5","","2.77","-0.64","0.36","14553"
"Keibert Ruiz","LAD","9","34","32","8","1","0","1","4","4","2","5","0","0",".261",".310",".389",".698",".303","596.7","","3.72","3.27","1.88","19610"
"Justin Williams","STL","21","80","73","18","3","0","2","9","9","6","21","1","0",".243",".308",".387",".695",".303","999.0","","2.94","0.31","1.70","15490"
"Andrew Knapp","PHI","52","168","144","33","7","1","4","17","17","20","48","0","0",".229",".330",".366",".696",".303","589.5","","1.84","0.34","1.31","14942"
